beneficiary_id,family_id,district_id,state_id,age,gender
83,28,1,1,14,F
84,29,1,1,77,M
85,29,1,1,5,F
86,29,1,1,22,F
87,30,1,1,36,M
88,30,1,1,61,M
89,30,1,1,3,F
90,31,1,1,76,M
91,31,1,1,15,M
92,31,1,1,44,M
93,32,1,1,31,F
94,32,1,1,35,M
95,32,1,1,33,M
96,33,1,1,3,M
97,33,1,1,97,M
98,33,1,1,10,F
99,34,1,1,38,F
100,34,1,1,89,M
101,34,1,1,25,F
102,35,1,1,16,F
103,35,1,1,17,F
104,35,1,1,9,F
105,36,1,1,13,M
106,36,1,1,50,M
107,36,1,1,70,M
108,37,1,1,3,F
109,37,1,1,40,M
110,37,1,1,3,M
111,38,1,1,83,M
112,38,1,1,51,M
113,38,1,1,28,M
114,39,1,1,50,M
115,39,1,1,54,F
116,39,1,1,59,F
117,40,1,1,93,M
118,40,1,1,61,F
119,40,1,1,14,F
120,41,1,1,7,F
121,41,1,1,35,M
122,41,1,1,0,M
123,42,1,1,4,M
124,42,1,1,41,M
125,42,1,1,92,M
126,43,1,1,86,F
127,43,1,1,17,F
128,43,1,1,80,F
129,44,1,1,54,M
130,44,1,1,60,F
131,44,1,1,92,M
132,45,1,1,93,M
133,45,1,1,16,M
134,45,1,1,69,M
135,46,1,1,16,M
136,46,1,1,66,M
137,46,1,1,63,F
138,47,1,1,41,F
139,47,1,1,89,M
140,47,1,1,5,F
141,48,1,1,80,M
142,48,1,1,0,M
143,48,1,1,57,F
144,49,1,1,9,F
145,49,1,1,46,F
146,49,1,1,47,M
147,50,1,1,4,M
148,50,1,1,46,F
149,50,1,1,50,M
150,51,1,1,32,M
151,51,1,1,18,M
152,51,1,1,88,M
153,52,1,1,62,M
154,52,1,1,22,F
155,52,1,1,97,M
156,53,1,1,92,M
157,53,1,1,84,M
158,53,1,1,86,M
159,54,1,1,10,F
160,54,1,1,74,F
161,54,1,1,77,M
162,55,1,1,16,M
163,55,1,1,26,M
164,55,1,1,83,M
165,56,1,1,12,F
166,56,1,1,22,M
167,56,1,1,13,M
168,57,1,1,28,F
169,57,1,1,84,F
170,57,1,1,22,F
171,58,1,1,62,F
172,58,1,1,93,M
173,58,1,1,86,F
174,59,1,1,10,F
175,59,1,1,2,F
176,59,1,1,21,F
177,60,1,1,32,M
178,60,1,1,26,M
179,60,1,1,15,F
180,61,1,1,0,M
181,61,1,1,24,M
182,61,1,1,94,F
183,62,1,1,55,M
184,62,1,1,67,F
185,62,1,1,41,F
186,63,1,1,19,F
187,63,1,1,47,M
188,63,1,1,30,F
189,64,1,1,61,M
190,64,1,1,54,F
191,64,1,1,29,M
192,65,1,1,18,M
193,65,1,1,32,F
194,65,1,1,36,F
195,66,1,1,61,F
196,66,1,1,76,M
197,66,1,1,59,F
198,67,1,1,42,F
199,67,1,1,5,M
200,67,1,1,61,M
201,68,1,1,77,M
202,68,1,1,1,M
203,68,1,1,99,M
204,69,1,1,35,M
205,69,1,1,66,F
206,69,1,1,39,M
207,70,1,1,8,M
208,70,1,1,88,M
209,70,1,1,74,M
210,71,1,1,10,F
211,71,1,1,3,M
212,71,1,1,91,M
213,72,1,1,35,F
214,72,1,1,60,F
215,72,1,1,94,F
216,73,1,1,54,F
217,73,1,1,80,F
218,73,1,1,88,F
219,74,1,1,34,M
220,74,1,1,81,F
221,74,1,1,72,F
222,75,1,1,55,F
223,75,1,1,33,F
224,75,1,1,14,F
225,76,1,1,19,M
226,76,1,1,8,M
227,76,1,1,26,M
228,77,1,1,65,M
229,77,1,1,30,F
230,77,1,1,45,F
231,78,1,1,3,F
232,78,1,1,27,M
233,78,1,1,83,F
234,79,1,1,37,F
235,79,1,1,18,F
236,79,1,1,83,F
237,80,1,1,45,M
238,80,1,1,39,F
239,80,1,1,32,M
240,81,1,1,27,F
241,81,1,1,67,F
242,81,1,1,91,M
243,82,1,1,89,M
244,82,1,1,5,F
245,82,1,1,8,F
246,83,1,1,10,F
247,83,1,1,25,M
248,83,2,1,20,F
249,84,2,1,16,F
250,84,2,1,15,M
251,84,2,1,36,M
252,85,2,1,100,F
253,85,2,1,13,M
254,85,2,1,74,M
255,86,2,1,71,M
256,86,2,1,12,M
257,86,2,1,55,M
258,87,2,1,7,M
259,87,2,1,48,M
260,87,2,1,36,F
261,88,2,1,72,M
262,88,2,1,53,M
263,88,2,1,74,M
264,89,2,1,96,M
265,89,2,1,50,F
266,89,2,1,49,F
267,90,2,1,27,M
268,90,2,1,4,M
269,90,2,1,6,F
270,91,2,1,82,M
271,91,2,1,76,M
272,91,2,1,22,F
273,92,2,1,60,M
274,92,2,1,41,F
275,92,2,1,0,F
276,93,2,1,79,M
277,93,2,1,32,F
278,93,2,1,56,F
279,94,2,1,65,F
280,94,2,1,10,F
281,94,2,1,54,F
282,95,2,1,36,F
283,95,2,1,19,M
284,95,2,1,80,M
285,96,2,1,16,F
286,96,2,1,14,F
287,96,2,1,48,F
288,97,2,1,20,F
289,97,2,1,82,M
290,97,2,1,38,F
291,98,2,1,76,F
292,98,2,1,16,F
293,98,2,1,47,M
294,99,2,1,5,F
295,99,2,1,39,M
296,99,2,1,63,F
297,100,2,1,34,M
298,100,2,1,5,M
299,100,2,1,28,M
300,101,2,1,18,F
301,101,2,1,37,F
302,101,2,1,31,F
303,102,2,1,22,F
304,102,2,1,16,F
305,102,2,1,13,M
306,103,2,1,19,M
307,103,2,1,11,F
308,103,2,1,16,F
309,104,2,1,98,M
310,104,2,1,17,F
311,104,2,1,10,M
312,105,2,1,65,M
313,105,2,1,16,M
314,105,2,1,46,M
315,106,2,1,57,F
316,106,2,1,6,M
317,106,2,1,49,F
318,107,2,1,37,F
319,107,2,1,11,M
320,107,2,1,15,F
321,108,2,1,6,M
322,108,2,1,28,M
323,108,2,1,49,M
324,109,2,1,9,F
325,109,2,1,5,M
326,109,2,1,7,F
327,110,2,1,53,M
328,110,2,1,73,F
329,110,2,1,34,F
330,111,2,1,17,F
331,111,2,1,18,M
332,111,2,1,53,M
333,112,2,1,94,M
334,112,2,1,55,F
335,112,2,1,59,M
336,113,2,1,14,M
337,113,2,1,9,F
338,113,2,1,34,F
339,114,2,1,17,M
340,114,2,1,17,F
341,114,2,1,65,F
342,115,2,1,4,M
343,115,2,1,91,M
344,115,2,1,31,M
345,116,2,1,58,F
346,116,2,1,80,M
347,116,2,1,3,F
348,117,2,1,52,F
349,117,2,1,33,F
350,117,2,1,63,F
351,118,2,1,94,F
352,118,2,1,32,M
353,118,2,1,87,F
354,119,2,1,53,M
355,119,2,1,5,M
356,119,2,1,100,F
357,120,2,1,49,M
358,120,2,1,36,F
359,120,2,1,90,M
360,121,2,1,100,F
361,121,2,1,56,F
362,121,2,1,97,F
363,122,2,1,22,F
364,122,2,1,19,M
365,122,2,1,83,F
366,123,2,1,29,F
367,123,2,1,17,F
368,123,2,1,78,M
369,124,2,1,35,F
370,124,2,1,15,M
371,124,2,1,97,F
372,125,2,1,84,M
373,125,2,1,59,F
374,125,2,1,30,M
375,126,2,1,42,F
376,126,2,1,55,M
377,126,2,1,12,M
378,127,2,1,92,F
379,127,2,1,86,F
380,127,2,1,7,M
381,128,2,1,65,F
382,128,2,1,46,F
383,128,2,1,5,M
384,129,2,1,35,M
385,129,2,1,58,M
386,129,2,1,40,F
387,130,2,1,41,F
388,130,2,1,30,F
389,130,2,1,98,M
390,131,2,1,35,M
391,131,2,1,26,M
392,131,2,1,84,F
393,132,2,1,73,F
394,132,2,1,21,F
395,132,2,1,79,F
396,133,2,1,67,F
397,133,2,1,84,F
398,133,2,1,45,F
399,134,2,1,20,F
400,134,2,1,35,F
401,134,2,1,85,M
402,135,2,1,49,M
403,135,2,1,83,F
404,135,2,1,2,F
405,136,2,1,65,F
406,136,2,1,26,M
407,136,2,1,39,M
408,137,2,1,7,F
409,137,2,1,85,F
410,137,2,1,6,F
411,138,2,1,0,M
412,138,2,1,29,M
413,138,2,1,4,F
414,139,2,1,20,F
415,139,2,1,58,F
416,139,2,1,83,F
417,140,2,1,95,F
418,140,2,1,85,M
419,140,2,1,54,M
420,141,2,1,56,F
421,141,2,1,100,M
422,141,2,1,32,M
423,142,2,1,72,M
424,142,2,1,33,F
425,142,2,1,89,M
426,143,2,1,19,M
427,143,2,1,17,F
428,143,2,1,32,M
429,144,2,1,44,M
430,144,2,1,10,M
431,144,2,1,53,F
432,145,2,1,54,M
433,145,2,1,40,M
434,145,2,1,14,F
435,146,2,1,35,M
436,146,2,1,88,F
437,146,2,1,89,M
438,147,2,1,4,F
439,147,2,1,99,F
440,147,2,1,57,F
441,148,2,1,63,F
442,148,2,1,82,M
443,148,2,1,100,F
444,149,2,1,6,F
445,149,2,1,49,F
446,149,2,1,100,F
447,150,2,1,1,F
448,150,2,1,16,M
449,150,2,1,90,F
450,151,2,1,80,F
451,151,2,1,73,M
452,151,2,1,53,F
453,152,2,1,13,M
454,152,2,1,55,M
455,152,2,1,56,M
456,153,2,1,18,F
457,153,2,1,2,F
458,153,2,1,68,M
459,154,2,1,90,F
460,154,2,1,70,M
461,154,2,1,12,F
462,155,2,1,44,F
463,155,2,1,80,F
464,155,2,1,90,F
465,156,2,1,97,F
466,156,2,1,70,F
467,156,2,1,77,F
468,157,2,1,96,M
469,157,2,1,71,M
470,157,2,1,84,F
471,158,2,1,97,F
472,158,2,1,5,F
473,158,2,1,0,M
474,159,2,1,35,F
475,159,2,1,50,F
476,159,2,1,6,M
477,160,2,1,37,F
478,160,2,1,90,M
479,160,2,1,58,F
480,161,2,1,90,F
481,161,2,1,58,M
482,161,2,1,8,M
483,162,2,1,18,F
484,162,2,1,7,M
485,162,2,1,87,M
486,163,2,1,27,F
487,163,2,1,61,F
488,163,2,1,51,M
489,164,2,1,87,M
490,164,2,1,80,F
491,164,2,1,93,F
492,165,2,1,1,F
493,165,2,1,13,F
494,165,2,1,95,F
495,166,2,1,6,F
496,166,2,1,45,F
497,166,2,1,3,F
498,167,2,1,11,M
499,167,2,1,94,F
500,167,2,1,5,M
501,168,3,1,52,M
502,168,3,1,3,F
503,168,3,1,14,M
504,169,3,1,75,M
505,169,3,1,4,M
506,169,3,1,50,M
507,170,3,1,19,M
508,170,3,1,75,M
509,170,3,1,16,M
510,171,3,1,99,F
511,171,3,1,76,M
512,171,3,1,59,M
513,172,3,1,7,F
514,172,3,1,75,M
515,172,3,1,51,M
516,173,3,1,10,M
517,173,3,1,7,F
518,173,3,1,43,M
519,174,3,1,37,F
520,174,3,1,42,M
521,174,3,1,34,M
522,175,3,1,94,M
523,175,3,1,67,F
524,175,3,1,35,M
525,176,3,1,3,F
526,176,3,1,82,F
527,176,3,1,63,F
528,177,3,1,66,F
529,177,3,1,4,M
530,177,3,1,19,M
531,178,3,1,3,F
532,178,3,1,55,F
533,178,3,1,26,F
534,179,3,1,34,F
535,179,3,1,6,M
536,179,3,1,83,M
537,180,3,1,32,M
538,180,3,1,30,F
539,180,3,1,28,M
540,181,3,1,18,F
541,181,3,1,60,F
542,181,3,1,95,F
543,182,3,1,4,M
544,182,3,1,5,M
545,182,3,1,70,F
546,183,3,1,78,M
547,183,3,1,50,F
548,183,3,1,61,F
549,184,3,1,22,F
550,184,3,1,85,M
551,184,3,1,97,F
552,185,3,1,22,M
553,185,3,1,9,F
554,185,3,1,13,M
555,186,3,1,22,F
556,186,3,1,6,F
557,186,3,1,49,F
558,187,3,1,82,M
559,187,3,1,53,F
560,187,3,1,1,F
561,188,3,1,65,F
562,188,3,1,91,F
563,188,3,1,0,M
564,189,3,1,48,F
565,189,3,1,4,M
566,189,3,1,5,M
567,190,3,1,25,F
568,190,3,1,21,F
569,190,3,1,18,F
570,191,3,1,73,M
571,191,3,1,86,M
572,191,3,1,9,M
573,192,3,1,61,F
574,192,3,1,33,F
575,192,3,1,38,F
576,193,3,1,30,M
577,193,3,1,71,M
578,193,3,1,21,M
579,194,3,1,17,F
580,194,3,1,43,F
581,194,3,1,2,F
582,195,3,1,99,M
583,195,3,1,0,F
584,195,3,1,94,M
585,196,3,1,72,F
586,196,3,1,19,M
587,196,3,1,40,F
588,197,3,1,10,F
589,197,3,1,44,M
590,197,3,1,40,F
591,198,3,1,4,M
592,198,3,1,32,F
593,198,3,1,91,F
594,199,3,1,49,F
595,199,3,1,65,F
596,199,3,1,17,F
597,200,3,1,1,F
598,200,3,1,10,F
599,200,3,1,80,F
600,201,3,1,5,M
601,201,3,1,14,F
602,201,3,1,43,F
603,202,3,1,85,F
604,202,3,1,13,M
605,202,3,1,4,M
606,203,3,1,44,M
607,203,3,1,89,F
608,203,3,1,22,M
609,204,3,1,14,M
610,204,3,1,15,M
611,204,3,1,52,M
612,205,3,1,10,F
613,205,3,1,36,F
614,205,3,1,62,F
615,206,3,1,84,F
616,206,3,1,9,M
617,206,3,1,36,F
618,207,3,1,76,M
619,207,3,1,22,M
620,207,3,1,18,F
621,208,3,1,2,F
622,208,3,1,80,M
623,208,3,1,58,M
624,209,3,1,54,F
625,209,3,1,35,M
626,209,3,1,34,M
627,210,3,1,19,F
628,210,3,1,40,M
629,210,3,1,34,F
630,211,3,1,98,M
631,211,3,1,41,M
632,211,3,1,2,F
633,212,3,1,99,M
634,212,3,1,24,F
635,212,3,1,26,F
636,213,3,1,62,M
637,213,3,1,75,F
638,213,3,1,3,M
639,214,3,1,47,F
640,214,3,1,17,M
641,214,3,1,20,M
642,215,3,1,90,F
643,215,3,1,97,F
644,215,3,1,7,M
645,216,3,1,18,F
646,216,3,1,57,F
647,216,3,1,78,M
648,217,3,1,58,F
649,217,3,1,41,M
650,217,3,1,23,M
651,218,3,1,95,F
652,218,3,1,94,F
653,218,3,1,11,M
654,219,3,1,9,F
655,219,3,1,82,M
656,219,3,1,41,M
657,220,3,1,60,M
658,220,3,1,52,M
659,220,3,1,9,M
660,221,3,1,67,M
661,221,3,1,29,M
662,221,3,1,97,F
663,222,3,1,71,F
664,222,3,1,14,M
665,222,3,1,18,F
666,223,3,1,89,M
667,223,3,1,24,F
668,223,3,1,35,F
669,224,3,1,74,F
670,224,3,1,96,M
671,224,3,1,76,M
672,225,3,1,85,M
673,225,3,1,57,F
674,225,3,1,47,M
675,226,3,1,66,M
676,226,3,1,17,M
677,226,3,1,16,M
678,227,3,1,80,M
679,227,3,1,94,M
680,227,3,1,78,F
681,228,3,1,92,F
682,228,3,1,3,F
683,228,3,1,14,M
684,229,3,1,25,M
685,229,3,1,19,M
686,229,3,1,81,F
687,230,3,1,75,M
688,230,3,1,2,F
689,230,3,1,64,M
690,231,3,1,71,F
691,231,3,1,34,M
692,231,3,1,89,M
693,232,3,1,15,M
694,232,3,1,46,F
695,232,3,1,6,F
696,233,3,1,14,M
697,233,3,1,2,F
698,233,3,1,57,F
699,234,3,1,3,F
700,234,3,1,52,M
701,234,3,1,56,M
702,235,3,1,66,F
703,235,3,1,31,F
704,235,3,1,14,F
705,236,3,1,11,M
706,236,3,1,43,F
707,236,3,1,4,M
708,237,3,1,27,F
709,237,3,1,2,F
710,237,3,1,98,F
711,238,3,1,70,F
712,238,3,1,75,F
713,238,3,1,14,M
714,239,3,1,73,F
715,239,3,1,8,F
716,239,3,1,46,M
717,240,3,1,80,F
718,240,3,1,98,F
719,240,3,1,56,M
720,241,3,1,3,F
721,241,3,1,2,M
722,241,3,1,2,M
723,242,3,1,87,F
724,242,3,1,92,F
725,242,3,1,99,F
726,243,3,1,15,M
727,243,3,1,17,M
728,243,3,1,84,F
729,244,3,1,16,F
730,244,3,1,32,F
731,244,3,1,69,F
732,245,3,1,21,M
733,245,3,1,40,F
734,245,3,1,24,F
735,246,3,1,76,F
736,246,3,1,4,M
737,246,3,1,46,F
738,247,3,1,6,F
739,247,3,1,59,F
740,247,3,1,33,F
741,248,3,1,10,F
742,248,3,1,22,M
743,248,3,1,67,F
744,249,3,1,54,F
745,249,3,1,16,M
746,249,3,1,4,F
747,250,3,1,23,M
748,250,3,1,95,M
749,250,3,1,82,F
750,251,3,1,2,M
751,251,3,1,14,F
752,251,3,1,23,M
753,252,3,1,53,F
754,252,3,1,94,F
755,252,3,1,33,M
756,253,3,1,49,F
757,253,3,1,28,F
758,253,3,1,15,M
759,254,3,1,1,M
760,254,3,1,40,F
761,254,3,1,90,M
762,255,3,1,15,F
763,255,3,1,65,M
764,255,3,1,100,F
765,256,3,1,63,F
766,256,3,1,12,M
767,256,4,1,34,F
768,257,4,1,100,F
769,257,4,1,60,M
770,257,4,1,46,F
771,258,4,1,87,M
772,258,4,1,66,M
773,258,4,1,76,M
774,259,4,1,7,M
775,259,4,1,75,M
776,259,4,1,75,M
777,260,4,1,23,F
778,260,4,1,36,M
779,260,4,1,54,M
780,261,4,1,3,F
781,261,4,1,100,F
782,261,4,1,43,F
783,262,4,1,79,M
784,262,4,1,7,F
785,262,4,1,57,F
786,263,4,1,36,F
787,263,4,1,7,M
788,263,4,1,72,M
789,264,4,1,32,M
790,264,4,1,80,M
791,264,4,1,18,M
792,265,4,1,19,M
793,265,4,1,21,F
794,265,4,1,82,F
795,266,4,1,11,F
796,266,4,1,7,F
797,266,4,1,54,M
798,267,4,1,40,M
799,267,4,1,51,M
800,267,4,1,10,F
801,268,4,1,81,M
802,268,4,1,79,M
803,268,4,1,4,F
804,269,4,1,58,F
805,269,4,1,54,M
806,269,4,1,40,F
807,270,4,1,57,F
808,270,4,1,38,F
809,270,4,1,17,M
810,271,4,1,63,M
811,271,4,1,33,F
812,271,4,1,36,F
813,272,4,1,53,F
814,272,4,1,84,F
815,272,4,1,68,F
816,273,4,1,98,M
817,273,4,1,72,M
818,273,4,1,19,F
819,274,4,1,7,F
820,274,4,1,14,M
821,274,4,1,3,F
822,275,4,1,84,F
823,275,4,1,15,M
824,275,4,1,78,F
825,276,4,1,11,M
826,276,4,1,40,F
827,276,4,1,40,F
828,277,4,1,40,M
829,277,4,1,94,F
830,277,4,1,96,M
831,278,4,1,50,M
832,278,4,1,3,F
833,278,4,1,52,F
834,279,4,1,17,M
835,279,4,1,82,F
836,279,4,1,8,F
837,280,4,1,68,F
838,280,4,1,24,F
839,280,4,1,3,M
840,281,4,1,23,F
841,281,4,1,4,F
842,281,4,1,72,F
843,282,4,1,79,M
844,282,4,1,7,M
845,282,4,1,27,F
846,283,4,1,47,F
847,283,4,1,71,M
848,283,4,1,52,F
849,284,4,1,40,M
850,284,4,1,2,F
851,284,4,1,77,F
852,285,4,1,9,M
853,285,4,1,19,F
854,285,4,1,9,F
855,286,4,1,51,F
856,286,4,1,65,F
857,286,4,1,37,M
858,287,4,1,24,M
859,287,4,1,98,F
860,287,4,1,76,M
861,288,4,1,52,F
862,288,4,1,97,M
863,288,4,1,67,F
864,289,4,1,10,F
865,289,4,1,8,M
866,289,4,1,1,M
867,290,4,1,11,F
868,290,4,1,18,M
869,290,4,1,29,M
870,291,4,1,29,F
871,291,4,1,85,M
872,291,4,1,65,M
873,292,4,1,47,F
874,292,4,1,43,F
875,292,4,1,95,F
876,293,4,1,90,F
877,293,4,1,46,F
878,293,4,1,53,M
879,294,4,1,95,F
880,294,4,1,47,M
881,294,4,1,93,F
882,295,4,1,73,M
883,295,4,1,63,F
884,295,4,1,19,F
885,296,4,1,47,F
886,296,4,1,17,F
887,296,4,1,88,F
888,297,4,1,79,M
889,297,4,1,17,F
890,297,4,1,95,M
891,298,4,1,21,F
892,298,4,1,59,F
893,298,4,1,12,F
894,299,4,1,92,F
895,299,4,1,8,M
896,299,4,1,14,M
897,300,4,1,57,M
898,300,4,1,6,F
899,300,4,1,66,M
900,301,4,1,62,M
901,301,4,1,0,M
902,301,4,1,29,F
903,302,4,1,37,M
904,302,4,1,71,F
905,302,4,1,19,M
906,303,4,1,89,M
907,303,4,1,58,M
908,303,4,1,44,M
909,304,4,1,90,M
910,304,4,1,30,M
911,304,4,1,93,M
912,305,4,1,100,F
913,305,4,1,75,M
914,305,4,1,93,F
915,306,4,1,86,M
916,306,4,1,18,M
917,306,4,1,92,F
918,307,4,1,17,F
919,307,4,1,87,M
920,307,4,1,82,F
921,308,4,1,16,M
922,308,4,1,20,F
923,308,4,1,58,M
924,309,4,1,0,F
925,309,4,1,75,M
926,309,4,1,10,F
927,310,4,1,80,F
928,310,4,1,5,M
929,310,4,1,11,M
930,311,4,1,37,M
931,311,4,1,0,F
932,311,4,1,14,F
933,312,4,1,95,F
934,312,4,1,50,M
935,312,4,1,15,F
936,313,4,1,63,M
937,313,4,1,60,F
938,313,4,1,18,F
939,314,4,1,63,F
940,314,4,1,63,F
941,314,4,1,24,M
942,315,4,1,13,M
943,315,4,1,37,F
944,315,4,1,70,F
945,316,4,1,30,F
946,316,4,1,71,M
947,316,4,1,72,M
948,317,4,1,43,F
949,317,4,1,4,M
950,317,4,1,3,M
951,318,4,1,49,M
952,318,4,1,9,F
953,318,4,1,7,M
954,319,4,1,66,F
955,319,4,1,5,F
956,319,4,1,77,F
957,320,4,1,7,F
958,320,4,1,35,M
959,320,4,1,47,F
960,321,4,1,67,F
961,321,4,1,15,M
962,321,4,1,70,M
963,322,4,1,2,F
964,322,4,1,64,M
965,322,4,1,93,M
966,323,4,1,99,F
967,323,4,1,1,F
968,323,4,1,10,M
969,324,4,1,72,F
970,324,4,1,25,F
971,324,4,1,34,F
972,325,4,1,25,M
973,325,4,1,59,F
974,325,4,1,7,F
975,326,4,1,43,M
976,326,4,1,81,M
977,326,4,1,98,F
978,327,4,1,61,F
979,327,4,1,44,M
980,327,4,1,14,F
981,328,4,1,9,M
982,328,4,1,93,M
983,328,4,1,1,F
984,329,4,1,54,M
985,329,4,1,14,M
986,329,4,1,6,M
987,330,4,1,34,M
988,330,4,1,14,M
989,330,4,1,28,M
990,331,4,1,45,M
991,331,4,1,8,F
992,331,4,1,14,F
993,332,4,1,49,F
994,332,4,1,14,M
995,332,4,1,99,M
996,333,4,1,30,F
997,333,4,1,3,M
998,333,4,1,55,F
999,334,4,1,47,M
1000,334,4,1,97,F
1001,334,4,1,75,F
1002,335,4,1,64,F
1003,335,4,1,9,F
1004,335,4,1,11,F
1005,336,4,1,14,M
1006,336,4,1,18,M
1007,336,4,1,77,M
1008,337,4,1,48,F
1009,337,4,1,47,M
1010,337,4,1,26,F
1011,338,4,1,12,M
1012,338,4,1,91,F
1013,338,4,1,5,M
1014,339,4,1,3,F
1015,339,4,1,61,M
1016,339,4,1,85,M
1017,340,4,1,77,M
1018,340,4,1,38,F
1019,340,4,1,18,M
1020,341,4,1,12,M
1021,341,4,1,96,M
1022,341,4,1,70,F
1023,342,4,1,90,M
1024,342,4,1,27,M
1025,342,4,1,46,F
1026,343,4,1,26,F
1027,343,4,1,18,F
1028,343,4,1,42,F
1029,344,4,1,36,F
1030,344,4,1,72,F
1031,344,4,1,90,F
1032,345,4,1,18,M
1033,345,4,1,48,M
1034,345,4,1,69,M
1035,346,4,1,15,F
1036,346,4,1,17,M
1037,346,4,1,19,F
1038,347,4,1,48,M
1039,347,4,1,40,F
1040,347,4,1,15,F
1041,348,4,1,96,F
1042,348,4,1,35,F
1043,348,4,1,10,F
1044,349,4,1,11,M
1045,349,4,1,43,M
1046,349,4,1,94,M
1047,350,4,1,72,F
1048,350,4,1,8,M
1049,350,4,1,4,M
1050,351,4,1,0,F
1051,351,4,1,25,F
1052,351,4,1,59,M
1053,352,4,1,0,F
1054,352,4,1,0,F
1055,352,4,1,44,F
1056,353,4,1,1,F
1057,353,4,1,77,M
1058,353,4,1,6,M
1059,354,4,1,43,M
1060,354,4,1,11,F
1061,354,4,1,78,F
1062,355,4,1,76,M
1063,355,4,1,25,F
1064,355,4,1,35,M
1065,356,4,1,99,M
1066,356,4,1,18,M
1067,356,4,1,59,M
1068,357,4,1,5,F
1069,357,4,1,25,F
1070,357,4,1,3,M
1071,358,4,1,65,M
1072,358,4,1,40,F
1073,358,4,1,58,F
1074,359,4,1,48,M
1075,359,4,1,88,M
1076,359,4,1,13,F
1077,360,4,1,16,M
1078,360,4,1,62,F
1079,360,4,1,88,M
1080,361,4,1,10,F
1081,361,4,1,0,M
1082,361,4,1,51,F
1083,362,4,1,92,F
1084,362,4,1,9,M
1085,362,4,1,48,F
1086,363,4,1,61,F
1087,363,4,1,26,M
1088,363,4,1,75,M
1089,364,4,1,40,F
1090,364,4,1,3,F
1091,364,4,1,14,M
1092,365,4,1,21,F
1093,365,4,1,97,F
1094,365,4,1,1,F
1095,366,4,1,74,F
1096,366,4,1,39,F
1097,366,4,1,46,F
1098,367,4,1,32,F
1099,367,4,1,5,F
1100,367,4,1,76,M
1101,368,4,1,4,M
1102,368,4,1,25,M
1103,368,4,1,69,F
1104,369,4,1,23,M
1105,369,4,1,0,F
1106,369,4,1,33,F
1107,370,4,1,6,M
1108,370,4,1,11,F
1109,370,4,1,47,F
1110,371,4,1,6,M
1111,371,4,1,22,M
1112,371,4,1,52,F
1113,372,4,1,84,M
1114,372,4,1,17,F
1115,372,4,1,74,M
1116,373,4,1,49,M
1117,373,4,1,62,M
1118,373,4,1,8,F
1119,374,4,1,16,M
1120,374,4,1,3,F
1121,374,4,1,16,F
1122,375,4,1,38,M
1123,375,4,1,23,M
1124,375,4,1,67,F
1125,376,4,1,51,M
1126,376,4,1,35,M
1127,376,4,1,18,F
1128,377,4,1,20,F
1129,377,4,1,77,F
1130,377,4,1,33,F
1131,378,4,1,78,M
1132,378,4,1,18,M
1133,378,4,1,37,M
1134,379,4,1,96,F
1135,379,4,1,17,F
1136,379,4,1,97,M
1137,380,4,1,19,F
1138,380,4,1,78,F
1139,380,4,1,24,M
1140,381,4,1,51,M
1141,381,4,1,62,M
1142,381,4,1,95,F
1143,382,4,1,94,M
1144,382,4,1,33,F
1145,382,4,1,80,M
1146,383,4,1,79,F
1147,383,4,1,61,M
1148,383,4,1,56,M
1149,384,4,1,15,M
